#ies_format_version: 1.0
#file: 20241212_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 1
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20241212;	122617;	1734002777.000;	   +0.166
20241212;	122622;	1734002782.000;	   +0.156
20241212;	122627;	1734002787.000;	   +0.137
20241212;	122632;	1734002792.000;	   +2.642
20241212;	122637;	1734002797.000;	   +2.632
20241212;	122642;	1734002802.000;	   +2.620
20241212;	122647;	1734002807.000;	   +2.617
20241212;	122652;	1734002812.000;	   +2.598
20241212;	122657;	1734002817.000;	   +2.117
20241212;	122702;	1734002822.000;	   +3.906
20241212;	122707;	1734002827.000;	   +3.971
20241212;	122712;	1734002832.000;	   +3.994
20241212;	122717;	1734002837.000;	   +3.223
20241212;	122722;	1734002842.000;	   +3.563
20241212;	122727;	1734002847.000;	   +4.531
20241212;	122732;	1734002852.000;	   +4.092
20241212;	122737;	1734002857.000;	   +3.945
20241212;	122742;	1734002862.000;	   +3.991
20241212;	122747;	1734002867.000;	   +3.937
20241212;	122752;	1734002872.000;	   +3.955
20241212;	122757;	1734002877.000;	   +3.930
20241212;	122802;	1734002882.000;	   +3.942
20241212;	122807;	1734002887.000;	   +3.943
20241212;	122812;	1734002892.000;	   +3.951
20241212;	122817;	1734002897.000;	   +3.931
20241212;	122822;	1734002902.000;	   +3.951
20241212;	122827;	1734002907.000;	   +3.943
20241212;	122832;	1734002912.000;	   +2.838
20241212;	122837;	1734002917.000;	   +3.007
20241212;	122842;	1734002922.000;	   +2.754
20241212;	122847;	1734002927.000;	   +2.999
20241212;	122852;	1734002932.000;	   +2.773
20241212;	122857;	1734002937.000;	   +2.934
20241212;	122902;	1734002942.000;	   +2.881
20241212;	122907;	1734002947.000;	   +2.844
20241212;	122912;	1734002952.000;	   +2.998
20241212;	122917;	1734002957.000;	   +2.746
20241212;	122922;	1734002962.000;	   +3.013
20241212;	122927;	1734002967.000;	   +2.753
20241212;	122932;	1734002972.000;	   +2.961
20241212;	122937;	1734002977.000;	   +2.877
20241212;	122942;	1734002982.000;	   +2.814
20241212;	122947;	1734002987.000;	   +2.947
20241212;	122952;	1734002992.000;	   +2.834
20241212;	122957;	1734002997.000;	   +2.978
20241212;	123002;	1734003002.000;	   +2.694
20241212;	123007;	1734003007.000;	   +2.943
20241212;	123012;	1734003012.000;	   +2.878
20241212;	123017;	1734003017.000;	   +2.834
20241212;	123022;	1734003022.000;	   +2.976
20241212;	123027;	1734003027.000;	   +2.753
20241212;	123032;	1734003032.000;	   +3.002
20241212;	123037;	1734003037.000;	   +2.748
20241212;	123042;	1734003042.000;	   +2.933
20241212;	123047;	1734003047.000;	   +2.860
20241212;	123052;	1734003052.000;	   +2.822
20241212;	123057;	1734003057.000;	   +2.996
20241212;	123102;	1734003062.000;	   +2.748
20241212;	123107;	1734003067.000;	   +2.975
20241212;	123112;	1734003072.000;	   +2.937
20241212;	123117;	1734003077.000;	   +1.994
20241212;	123122;	1734003082.000;	   +3.888
20241212;	123127;	1734003087.000;	   +2.793
20241212;	123132;	1734003092.000;	   +2.125
20241212;	123137;	1734003097.000;	   +1.692
20241212;	123142;	1734003102.000;	   +3.501
20241212;	123147;	1734003107.000;	   +2.912
20241212;	123152;	1734003112.000;	   +2.927
20241212;	123157;	1734003117.000;	   +2.855
20241212;	123202;	1734003122.000;	   +2.814
20241212;	123207;	1734003127.000;	   +2.959
20241212;	123212;	1734003132.000;	   +2.740
20241212;	123217;	1734003137.000;	   +2.970
20241212;	123222;	1734003142.000;	   +2.942
20241212;	123227;	1734003147.000;	   +2.912
20241212;	123232;	1734003152.000;	   +2.843
20241212;	123237;	1734003157.000;	   +2.797
20241212;	123242;	1734003162.000;	   +2.961
20241212;	123247;	1734003167.000;	   +2.599
20241212;	123252;	1734003172.000;	   +2.973
20241212;	123257;	1734003177.000;	   +2.718
20241212;	123302;	1734003182.000;	   +2.904
20241212;	123307;	1734003187.000;	   +2.870
20241212;	123312;	1734003192.000;	   +2.791
20241212;	123317;	1734003197.000;	   +2.978
20241212;	123322;	1734003202.000;	   +2.724
20241212;	123327;	1734003207.000;	   +2.984
20241212;	123332;	1734003212.000;	   +2.744
20241212;	123337;	1734003217.000;	   +2.901
20241212;	123342;	1734003222.000;	   +2.874
20241212;	123347;	1734003227.000;	   +2.809
20241212;	123352;	1734003232.000;	   +2.969
20241212;	123357;	1734003237.000;	   +2.772
20241212;	123402;	1734003242.000;	   +3.055
20241212;	123407;	1734003247.000;	   +2.742
20241212;	123412;	1734003252.000;	   +2.955
20241212;	123417;	1734003257.000;	   +2.845
20241212;	123422;	1734003262.000;	   +2.803
20241212;	123427;	1734003267.000;	   +2.437
20241212;	123432;	1734003272.000;	   +1.753
20241212;	123437;	1734003277.000;	   +2.535
20241212;	123442;	1734003282.000;	   +2.677
20241212;	123447;	1734003287.000;	   +0.987
20241212;	123452;	1734003292.000;	   +0.000
20241212;	123457;	1734003297.000;	   +0.394
20241212;	123502;	1734003302.000;	   +0.191
20241212;	123507;	1734003307.000;	   +3.459
20241212;	123512;	1734003312.000;	   +1.409
20241212;	123517;	1734003317.000;	   +0.482
20241212;	123522;	1734003322.000;	   +0.000
20241212;	123527;	1734003327.000;	   +0.000
20241212;	123532;	1734003332.000;	   +0.076
20241212;	123537;	1734003337.000;	   +0.651
20241212;	123542;	1734003342.000;	   +2.450
20241212;	123547;	1734003347.000;	   +2.478
20241212;	123552;	1734003352.000;	   +2.832
20241212;	123557;	1734003357.000;	   +3.922
20241212;	123602;	1734003362.000;	   +2.414
20241212;	123607;	1734003367.000;	   +3.383
20241212;	123612;	1734003372.000;	   +2.541
20241212;	123617;	1734003377.000;	   +2.523
20241212;	123622;	1734003382.000;	   +2.533
20241212;	123627;	1734003387.000;	   +1.607
20241212;	123632;	1734003392.000;	   +3.010
20241212;	123637;	1734003397.000;	   +2.559
20241212;	123642;	1734003402.000;	   +2.505
20241212;	123647;	1734003407.000;	   +2.531
20241212;	123652;	1734003412.000;	   +1.263
20241212;	123657;	1734003417.000;	   +3.351
20241212;	123702;	1734003422.000;	   +0.196
20241212;	123707;	1734003427.000;	   +0.124
20241212;	123712;	1734003432.000;	   +0.511
20241212;	123717;	1734003437.000;	   +0.192
20241212;	123722;	1734003442.000;	   +0.212
20241212;	123727;	1734003447.000;	   +0.204
20241212;	123732;	1734003452.000;	   +0.212
20241212;	123737;	1734003457.000;	   +0.203
20241212;	123742;	1734003462.000;	   +0.210
20241212;	123747;	1734003467.000;	   +0.208
20241212;	123752;	1734003472.000;	   +0.229
20241212;	123757;	1734003477.000;	   +0.216
20241212;	123802;	1734003482.000;	   +0.193
20241212;	123807;	1734003487.000;	   +0.695
20241212;	123812;	1734003492.000;	   +2.482
20241212;	123817;	1734003497.000;	   +2.470
20241212;	123822;	1734003502.000;	   +2.475
20241212;	123827;	1734003507.000;	   +2.477
20241212;	123832;	1734003512.000;	   +2.489
20241212;	123837;	1734003517.000;	   +2.492
20241212;	123842;	1734003522.000;	   +2.493
20241212;	123847;	1734003527.000;	   +3.981
20241212;	123852;	1734003532.000;	   +3.933
20241212;	123857;	1734003537.000;	   +3.969
20241212;	123902;	1734003542.000;	   +3.933
20241212;	123907;	1734003547.000;	   +3.967
20241212;	123912;	1734003552.000;	   +3.983
